Ailt #	Teideal	Téacs	Rogha 1	Téigh go	Rogha 2	Téigh go	Rogha 3	Téigh go	Rogha 4	Téigh go
0	Oisín i dTír na nÓg	Briseann glór do chuid macnamh, ag tarraingt do chuid smaointe ar ais ar céard atá ar siúl thart ort. "Oisín, an bhfuil tú ag teacht linn go Cill Áirne? Táimid ag dul chun roinnt fiacht a dhéanamh ansin beimid ag dul ar an dramhlas".	"Ní rachaidh mé libh an uair seo"	1	"Fan nóiméad, caithfidh mé mo luchtaire iPhone a fháil"	2	"Fan nóiméad, caithfidh mé mo bhogha a fháil"	3		
1	Éirí As	Fanann tú sa bhaile an uair seo, agus nuair a fhilleann na lads deireann siad leat faoi spéirbhean óg fionn a bhí ag cur do thuairisc. Feckin pleidhcí an dream ar fad. Caitheann tú an cuid eile do do shaol mar bhaitsiléir ag dul ag seilg agus ag ól le do ghrúpa cairde, le guth beag bídeach i d'eagna anois is arís ag rá go bhfuil rud éigin in easnamh. 								
2	Luchtaire iPhone? Dáiríre?	"Céard sa feic atá tú ag labhairt faoi Oisín? An raibh tú ag ithe na muisriúin sin ón choill arís? Tóg leat do bhogha agus tar linn!"	Glac do bhogha agus lean leat	3						
3	Turas Bóthair	Glacann tú do bhogha agus cuireann sibh aghaidh ar an mbóthair. Tá craic iontach agaibh ar bhur capaill ar an mbealach go Ciarraí. Níl aon mótarbhealach in Éireann ag an am seo go fóill, ach tá sé sin ceart go leor toisc go bhfuil tú ag taisteal go Ciarraí agus níl na bóithre ann mórán níos fearr go dtí an lá atá inniu ann. Tosaíonn roinnt de na lads ag spiocadh asat toisc go bhfuil tú fós ag crochadh thart le cairde d'athair agus níl aon cairde agat do aois féin.	Abair leo go mbuailfidh tú le spéirbhean álainn agus tú thíos i gCiarraí agus go mbeidh éad orthu ort i ndiaidh sin	4	Seachain an comhrá tríd aird a tharraingt ar Sheánín Séimh, a ghlac a mháthair ar an dturas	5	Seachain an comhrá tríd aird a tharraingt ar Tomás, atá ag caitheamh clóca ón séasúr seo chaite (séasúr na seilge atá i gceist agat, dár ndóigh)	6		
4	Réamhaisnéis na hAmadáin	Mothaíonn tú do chuid fola ag ardú, agus éiríonn do mhuineál te. Níl mórán srian ar d'fhearg nuair a deireann tú go bhfuil tú chun buaileadh le cailín deas d'aois féin thíos i gCiarraí, tú ag screadaíl nuair a shroicheann tú deireadh an abairt. Tá dea-ghiúmar an ghrúpa iomlán ídithe anois, agus ní labhraíonn éinne mórán an cuid eile den slí.	Lean ort go Ciarraí	7						
5	Seánín Séimh?	Go ródhéanach, is cuimhin leat gur ainm contráilte é 'Seánín Séimh'. Sula mbíonn am agat gníomhú,  tarraingíonn sé a claíomh agus le sá foirfe amháin cuireann sé lann an chlaíomh díreacht tríd do bhéal agus tú fós ag gáire. Sin ceacht duit!								
6	Sean (Chlóca) Tom	Tosaíonn gach duine eile ag spiocadh as Tomás agus a droch scileanna seilge chomh maith. "Ní mbeifeá in ann fiú traein a leanúint ó na ráillí" a deir duine amháin. Leanann tú ort ag gáire cé nach bhfuil a fhios agat cén cineál ainmhí é traein, agus cén cod den traein iad na ráillí. Beartaíonn tú ceist a chur ar Fionn níos déanaí nuair nach bhfuil na lads thart.	Lean ort go Ciarraí	7						
7	Cill Áirne	Sroicheann sibh Cill Áirne, agus tosaíonn an argóint an chóir an cuarbhóthar a ghlacadh nó dul tríd an baile féin. Tá sé ag éirí déanach, agus tá an grúpa scoilte go cothrom, mar sin casann siad chugat chun an cinneadh a dhéanamh, ach caithfidh tú é a dhéanamh go tapaidh.	Téigh tríd an baile	8	Glac an cuarbhóthair	9	Reo ar an spota, ag léiriú do éagumas cinneadh a dhéanamh duit féin	10		
8	(Baile) Cill Áirne	Téann sibh isteach i croí láir an bhaile. Tá daoine óga ar meisce tuisliú timpeall na háite, fear óg ag caitheamh aníos ar balla clúdaithe le mún na daoine a tháinig roimhe. Rinne tú dearmad gur tús mí na Samhna a bhí ann, agus dár ndóigh tá an tOireachtas ar siúl arís i gCill Áirne. Le céim mhór aire, déanann sibh bhur bealach tríd an baile agus ar aghaidh libh arís.	Ar aghaidh go Loch Léin	11						
9	Cuarbhóthair Cill Áirne	Glacann sibh an cuarbhóthair, atá thar a bheith ciúin, toisc nach bhfuil a leithead de charr ann sa domhain go fóill, mar sin níl aon trácht. Tá torann aisteach éigin ag teacht ón mbaile, tonnta fuaime ag bualadh bhur cluasa arís is arís, fuaim aithnidiúil, ach róchiúin chun do méar a chur ar. N'fheadar céard a bhí ann?	Ar aghaidh go Loch Léin	11						
10	Mac Díomách	"Go bhfóire Dia orainn, cén cineál mac atá tógtha agam ar chor ar bith?", a deireann Fionn, tuin a ghuth ag léiriú nach é seo an céad uair atá sé tar éis an smaoineamh sin a bheith aige, nó fiú an céad uair dó é a léiriú os ard. Rachaimid an cuarbhóthair, ní bheadh a fhios agat céard a bheadh ar siúl i mbaile Cill Áirne.	Ar aghaidh go dtí an cuarbhóthair	9						
11	Loch Léin	Ar deireadh, sroicheann sibh bruach an loch, spíonta ón turas fada atá déanta agaibh. Socraíonn sibh síos don oíche, deireann do instinní leat aláram a chur ar siúl ionas go músclaíonn tú go luath, ach ansin cuimhníonn tú nach bhfuil a leithead de aláram ann go fóill. Agus suaimhneas bog an chodladh ag titim ort, tá tuiscint fo-chomhfhiosach agat go bhfuil rud éigin chun tarlú amárach a athreoidh do shaol... (breis le teacht)								
